bbm,platform_record,match_type,quadrant,confidence,justification,breakdown,review_required,accepted,llm_reason,guardrail,synonym_match,synonym_evidence,candidate_group_size,candidate_group_ids,bbm_sci_name,bbm_genus,bbm_species,bbm_collector,bbm_date,bbm_locality,platform_sci_name,platform_genus,platform_species,platform_collector,platform_date,platform_locality
BBM:F029844,MO:63538,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,"01,02",False,True,,,False,,2,BBM:F029844; MO:63538,marasmius chordalis,marasmius,chordalis,,2008-10-17,"victoria, saanich peninsula, observatory hill; 'ravine"" on the w margin of observatory road, shortcut between the admin buildings and the hairpin curve",marasmius chordalis,marasmius,chordalis,oluna & adolf ceska,2008-10-17,"observatory hill, victoria, british columbia, canada"
BBM:F031437,MO:196189,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,2,BBM:F031437; MO:196189,marasmius scorodonius,marasmius,scorodonius,,2004-09-23,"metchosin, along galloping goose trail behind pearson college",marasmius scorodonius,marasmius,scorodonius,oluna & adolf ceska,2004-09-18,"pearson college, metchosin, vancouver island, british columbia, canada"
BBM:F032776,MO:215553,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F032776; MO:215553,marasmius oreades,marasmius,oreades,,2015-08-29,"victoria, uplands; 3215 ripon rd",marasmius oreades,marasmius,oreades,oluna & adolf ceska,2015-08-29,"ripon rd., uplands, victoria, british columbia, canada"
BBM:F028099,MO:119845,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F028099; MO:119845,schizophyllum commune,schizophyllum,commune,,2012-12-13,"vancouver island, duncan, elkington garry oak reserve",schizophyllum commune,schizophyllum,commune,oluna & adolf ceska,2012-12-13,"""elkington property"", 1241 maple bay rd., cowichan garry oak preserve, duncan, vancouver island, british columbia, canada"
BBM:F025428,MO:89902,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F025428; MO:89902,aleurodiscus macrocystidiatus,aleurodiscus,macrocystidiatus,,2012-02-27,"victoria, saanich peninsula, observatory hill; below the paved road, along the ephemeral creek",aleurodiscus macrocystidiatus,aleurodiscus,macrocystidiatus,oluna & adolf ceska,2012-02-27,"observatory hill, victoria, british columbia, canada"
BBM:F025844,MO:130190,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F025844; MO:130190,aleurodiscus aurantius,aleurodiscus,aurantius,,2013-02-27,"victoria, saanich peninsula, observatory hill; the ridge behind the small dome",aleurodiscus aurantius,aleurodiscus,aurantius,oluna & adolf ceska,2013-02-27,"observatory hill, victoria, british columbia, canada"
BBM:F026464,MO:65632,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,5,BBM:F026464; BBM:F026482; BBM:F026499; BBM:F026592; MO:65632,aleurodiscus penicillatus,aleurodiscus,penicillatus,,2008-01-20,"victoria, saanich peninsula, observatory hill; ridge behind the small dome",aleurodiscus penicillatus,aleurodiscus,penicillatus,oluna & adolf ceska,2008-10-26,"observatory hill, victoria, british columbia, canada"
BBM:F026482,MO:65632,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,5,BBM:F026464; BBM:F026482; BBM:F026499; BBM:F026592; MO:65632,aleurodiscus penicillatus,aleurodiscus,penicillatus,,2008-01-30,"victoria, saanich peninsula, observatory hill; southern slope above the main gate on the left side of the road going up",aleurodiscus penicillatus,aleurodiscus,penicillatus,oluna & adolf ceska,2008-10-26,"observatory hill, victoria, british columbia, canada"
BBM:F026499,MO:65632,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,5,BBM:F026464; BBM:F026482; BBM:F026499; BBM:F026592; MO:65632,aleurodiscus penicillatus,aleurodiscus,penicillatus,,2008-02-11,"victoria, saanich peninsula, observatory hill; forest margin behind the small dome",aleurodiscus penicillatus,aleurodiscus,penicillatus,oluna & adolf ceska,2008-10-26,"observatory hill, victoria, british columbia, canada"
BBM:F026592,MO:65632,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,5,BBM:F026464; BBM:F026482; BBM:F026499; BBM:F026592; MO:65632,aleurodiscus penicillatus,aleurodiscus,penicillatus,,2008-07-03,"victoria, saanich peninsula, observatory hill; mixed forest between the paved road and the ephemeral creek",aleurodiscus penicillatus,aleurodiscus,penicillatus,oluna & adolf ceska,2008-10-26,"observatory hill, victoria, british columbia, canada"
BBM:F026774,MO:86470,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F026774; MO:86470,aleurodiscus aurantius,aleurodiscus,aurantius,,2009-02-22,"victoria, saanich peninsula, observatory hill; forest margin behind the small dome",aleurodiscus aurantius,aleurodiscus,aurantius,oluna & adolf ceska,2009-02-22,"observatory hill, victoria, british columbia, canada"
BBM:F028775,MO:86469,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F028775; MO:86469,aleurodiscus grantii,aleurodiscus,grantii,,2006-01-15,"victoria, saanich peninsula, observatory hill; mixed forest between the paved road and the ephemeral creek",aleurodiscus grantii,aleurodiscus,grantii,oluna & adolf ceska,2006-01-15,"observatory hill, victoria, british columbia, canada"
BBM:F029613,MO:69419,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F029613; MO:69419,aleurodiscus macrocystidiatus,aleurodiscus,macrocystidiatus,,2007-12-20,"victoria, saanich peninsula, observatory hill; n end (central + ne) of the property",aleurodiscus macrocystidiatus,aleurodiscus,macrocystidiatus,oluna & adolf ceska,2007-12-20,"observatory hill, victoria, british columbia, canada"
BBM:F025802,MO:129917,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,"01,02",False,True,,,False,,3,BBM:F025802; BBM:F025828; MO:129917,hymenochaete corrugata,hymenochaete,corrugata,,2013-02-03,"victoria, saanich peninsula, observatory hill; the ridge behind the small dome",hymenochaete corrugata,hymenochaete,corrugata,oluna & adolf ceska,2013-02-20,"observatory hill, victoria, british columbia, canada"
BBM:F025828,MO:129917,similar,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,3,BBM:F025802; BBM:F025828; MO:129917,hymenochaete corrugata,hymenochaete,corrugata,,2013-02-20,"victoria, saanich peninsula, observatory hill; the ridge behind the small dome",hymenochaete corrugata,hymenochaete,corrugata,oluna & adolf ceska,2013-02-20,"observatory hill, victoria, british columbia, canada"
BBM:F025829,MO:130189,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F025829; MO:130189,hymenochaete fuliginosa,hymenochaete,fuliginosa,,2013-02-20,"victoria, saanich peninsula, observatory hill; the ridge behind the small dome",hymenochaete fuliginosa,hymenochaete,fuliginosa,oluna & adolf ceska,2013-02-20,"observatory hill, victoria, british columbia, canada"
BBM:F025937,MO:160580,similar,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F025937; MO:160580,hymenochaete fuliginosa,hymenochaete,fuliginosa,,2013-05-20,"victoria, saanich peninsula, observatory hill; forest margin behind the small dome",hymenochaete fuliginosa,hymenochaete,fuliginosa,oluna & adolf ceska,2013-04-20,"observatory hill, victoria, british columbia, canada"
BBM:F024320,MO:65871,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,4,BBM:F024320; BBM:F024421; BBM:F027473; MO:65871,peniophora decorticans,peniophora,decorticans,,2010-03-05,"victoria, saanich peninsula, observatory hill; below the paved road, along the ephemeral creek",peniophora decorticans,peniophora,decorticans,oluna & adolf ceska,2010-01-24,"observatory hill, victoria, british columbia, canada"
BBM:F024421,MO:65871,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,4,BBM:F024320; BBM:F024421; BBM:F027473; MO:65871,peniophora decorticans,peniophora,decorticans,,2010-05-23,"victoria, saanich peninsula, observatory hill; e-slope, to the ne corner of the federal property",peniophora decorticans,peniophora,decorticans,oluna & adolf ceska,2010-01-24,"observatory hill, victoria, british columbia, canada"
BBM:F027473,MO:65871,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,4,BBM:F024320; BBM:F024421; BBM:F027473; MO:65871,peniophora decorticans,peniophora,decorticans,,2010-08-27,"victoria, saanich peninsula, observatory hill; below the paved road, along the ephemeral creek",peniophora decorticans,peniophora,decorticans,oluna & adolf ceska,2010-01-24,"observatory hill, victoria, british columbia, canada"
BBM:F024925,MO:70470,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F024925; MO:70470,peniophora septentrionalis,peniophora,septentrionalis,,2011-02-10,"victoria, saanich peninsula, observatory hill; southern slope below the main herzberg institute of astrophysics building",peniophora septentrionalis,peniophora,septentrionalis,oluna & adolf ceska,2011-02-10,"observatory hill, victoria, british columbia, canada"
BBM:F025564,MO:114204,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F025564; MO:114204,peniophora aurantiaca,peniophora,aurantiaca,,2012-10-17,"victoria, saanich peninsula, observatory hill; below the paved road, along the ephemeral creek",peniophora aurantiaca,peniophora,aurantiaca,oluna & adolf ceska,2012-10-17,"observatory hill, victoria, british columbia, canada"
BBM:F025707,MO:128864,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,2,BBM:F025707; MO:128864,peniophora cinerea,peniophora,cinerea,,2012-12-12,"victoria, saanich peninsula, observatory hill; southern slope behind the fomer keeper's house",peniophora cinerea,peniophora,cinerea,oluna & adolf ceska,2012-12-12,"observatory hill, victoria, british columbia, canada"
BBM:F026492,MO:67868,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,3,BBM:F026492; MO:67868; MO:164800,peniophora incarnata,peniophora,incarnata,,2008-01-30,"victoria, saanich peninsula, observatory hill; southern slope above the main gate on the left side of the road going up",peniophora incarnata,peniophora,incarnata,oluna & adolf ceska,2008-01-30,"observatory hill, victoria, british columbia, canada"
BBM:F026492,MO:164800,strict,absent,3.0,name + exact date + locality/collector match; no cross-reference or image,01,False,True,,,False,,3,BBM:F026492; MO:67868; MO:164800,peniophora incarnata,peniophora,incarnata,,2008-01-30,"victoria, saanich peninsula, observatory hill; southern slope above the main gate on the left side of the road going up",peniophora incarnata,peniophora,incarnata,oluna & adolf ceska,2008-01-30,"observatory hill, victoria, british columbia, canada"
BBM:F027346,MO:66315,strict,unidirectional_platform_to_ubc,4.0,one-directional cross-reference (id present on only one side),01,False,True,,,False,,2,BBM:F027346; MO:66315,peniophora violaceolivida,peniophora,violaceolivida,,2009-12-25,"victoria, saanich peninsula, observatory hill; below the paved road, along the ephemeral creek",peniophora violaceolivida,peniophora,violaceolivida,oluna & adolf ceska,2009-12-25,"observatory hill, victoria, british columbia, canada"
BBM:F029084,MO:168398,similar,absent,2.5,similar/synonym name + date + locality/collector; no cross-reference or image,01,False,True,,,False,,7,BBM:F029084; BBM:F029098; BBM:F029099; BBM:F029139; BBM:F029197; MO:168398; MO:168455,peniophora incarnata,peniophora,incarnata,,2007-01-24,"victoria, saanich peninsula, observatory hill; ne corner",peniophora incarnata,peniophora,incarnata,oluna & adolf ceska,2007-01-28,"observatory hill, victoria, british columbia, canada"
