platform,record_a,record_b,match_type,breakdown
BBM,BBM:F028585,BBM:F028587,similar,06
BBM,BBM:F028588,BBM:F028689,similar,06
BBM,BBM:F028591,BBM:F028592,similar,06
BBM,BBM:F028610,BBM:F028612,similar,06
BBM,BBM:F028618,BBM:F028620,similar,06
BBM,BBM:F028618,BBM:F028621,similar,06
BBM,BBM:F028620,BBM:F028621,similar,06
BBM,BBM:F028629,BBM:F028630,similar,06
BBM,BBM:F028637,BBM:F028680,similar,06
BBM,BBM:F028653,BBM:F028681,similar,06
BBM,BBM:F028656,BBM:F028657,similar,06
BBM,BBM:F028656,BBM:F028683,similar,06
BBM,BBM:F028657,BBM:F028683,similar,06
BBM,BBM:F028674,BBM:F028676,similar,06
BBM,BBM:F028674,BBM:F028677,similar,06
BBM,BBM:F028676,BBM:F028677,similar,06
BBM,BBM:F028686,BBM:F028687,similar,06
BBM,BBM:F029040,BBM:F029057,similar,06
BBM,BBM:F029201,BBM:F029551,similar,06
BBM,BBM:F031455,BBM:F031636,similar,06
mo,MO:238405,MO:264931,similar,06
BBM,BBM:F007523,BBM:F007524,strict,06
BBM,BBM:F005130,BBM:F016565,similar,06
BBM,BBM:F007859,BBM:F007860,strict,06
BBM,BBM:F007873,BBM:F007874,strict,06
BBM,BBM:F013173,BBM:F013179,similar,06
BBM,BBM:F013183,BBM:F013215,similar,06
BBM,BBM:F013330,BBM:F013349,similar,06
BBM,BBM:F013330,BBM:F013350,similar,06
BBM,BBM:F013349,BBM:F013350,similar,06
BBM,BBM:F013657,BBM:F013659,similar,06
BBM,BBM:F013952,BBM:F013981,similar,06
BBM,BBM:F014619,BBM:F021691,similar,06
BBM,BBM:F014843,BBM:F014851,similar,06
BBM,BBM:F014843,BBM:F014852,similar,06
BBM,BBM:F014851,BBM:F014852,similar,06
BBM,BBM:F014884,BBM:F014900,similar,06
BBM,BBM:F014884,BBM:F034212,similar,06
BBM,BBM:F014900,BBM:F034212,similar,06
BBM,BBM:F015075,BBM:F015076,strict,06
BBM,BBM:F015641,BBM:F015663,similar,06
BBM,BBM:F015641,BBM:F015758,similar,06
BBM,BBM:F015663,BBM:F015758,similar,06
BBM,BBM:F015699,BBM:F015709,similar,06
BBM,BBM:F015699,BBM:F015777,similar,06
BBM,BBM:F015699,BBM:F015796,similar,06
BBM,BBM:F015709,BBM:F015777,similar,06
BBM,BBM:F015709,BBM:F015796,similar,06
BBM,BBM:F015777,BBM:F015796,similar,06
BBM,BBM:F015794,BBM:F015795,strict,06
BBM,BBM:F016604,BBM:F030765,similar,06
BBM,BBM:F018317,BBM:F018318,strict,06
BBM,BBM:F020617,BBM:F021090,similar,06
BBM,BBM:F020634,BBM:F020671,similar,06
BBM,BBM:F020634,BBM:F020931,similar,06
BBM,BBM:F020634,BBM:F021081,similar,06
BBM,BBM:F020671,BBM:F020931,similar,06
BBM,BBM:F020671,BBM:F021081,similar,06
BBM,BBM:F020931,BBM:F021081,similar,06
BBM,BBM:F020643,BBM:F020799,similar,06
BBM,BBM:F020684,BBM:F020689,similar,06
BBM,BBM:F020684,BBM:F021074,similar,06
BBM,BBM:F020689,BBM:F021074,similar,06
BBM,BBM:F020816,BBM:F020933,similar,06
BBM,BBM:F021097,BBM:F021124,strict,06
BBM,BBM:F021137,BBM:F021197,strict,06
BBM,BBM:F021285,BBM:F021794,similar,06
BBM,BBM:F021285,BBM:F022189,similar,06
BBM,BBM:F021794,BBM:F022189,similar,06
BBM,BBM:F021478,BBM:F021479,strict,06
BBM,BBM:F021569,BBM:F021692,similar,06
BBM,BBM:F021650,BBM:F021747,similar,06
BBM,BBM:F022390,BBM:F022427,similar,06
BBM,BBM:F022617,BBM:F022619,similar,06
BBM,BBM:F022617,BBM:F022633,similar,06
BBM,BBM:F022619,BBM:F022633,similar,06
BBM,BBM:F030645,BBM:F030803,similar,06
mo,MO:185352,MO:285079,similar,06
BBM,BBM:F000029,BBM:F012056,similar,06
BBM,BBM:F001397,BBM:F008166,similar,06
BBM,BBM:F008146,BBM:F034107,similar,06
BBM,BBM:F008150,BBM:F008151,strict,06
