mo_id,ubc_F,genbank,action_scope,requested_action,status,current_evidence,breakdown
330089,F19540,HQ604296,UBC/BBM,"Add MO #, add GB #",still_unimplemented,BBM F19540 missing accession(s) HQ604296,07
330089,F19540,HQ604296,GenBank,Add MO #,cannot_assess_current_extract,Current genbank_records.csv keeps UBC voucher refs but not MO refs/comments needed for this action,07
64347,F24557,MZ817019,UBC/BBM,"Add GB #, add prefix ""MO #""",still_unimplemented,BBM F24557 does not contain MO ref 64347,07
64347,F24557,MZ817019,UBC/BBM,"Add GB #, add prefix ""MO #""",still_unimplemented,BBM F24557 missing accession(s) MZ817019,07
160579,F25924,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25924 does not contain MO ref 160579,07
159014,F25111,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25111 does not contain MO ref 159014,07
149944,F26200,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26200 does not contain MO ref 149944,07
144428,F25553,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25553 does not contain MO ref 144428,07
136789,F25988,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25988 does not contain MO ref 136789,07
129959,F25876,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25876 does not contain MO ref 129959,07
95526,F25496,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25496 does not contain MO ref 95526,07
218820,F20130,–,UBC/BBM,Add MO #,still_unimplemented,BBM F20130 does not contain MO ref 218820,07
202712,F27094,–,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F27094 does not contain MO ref 202712,07
153803,F26366,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26366 does not contain MO ref 153803,07
153618,F26274,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26274 does not contain MO ref 153618,07
153612,F26339,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26339 does not contain MO ref 153612,07
151560,F26246,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26246 does not contain MO ref 151560,07
149941,F26163,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26163 does not contain MO ref 149941,07
149863,F26116,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26116 does not contain MO ref 149863,07
148514,F26148,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26148 does not contain MO ref 148514,07
145997,F26060,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26060 does not contain MO ref 145997,07
144839,F26026,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26026 does not contain MO ref 144839,07
144427,F26028,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26028 does not contain MO ref 144427,07
144387,F26038,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F26038 does not contain MO ref 144387,07
139393,F25923,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25923 does not contain MO ref 139393,07
136760,F25991,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25991 does not contain MO ref 136760,07
136429,F25908,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25908 does not contain MO ref 136429,07
130240,F25875,,UBC/BBM,"Add prefix ""MO #""",still_unimplemented,BBM F25875 does not contain MO ref 130240,07
