bbm,guid,status,breakdown
F000124,DCB13CCC-1565-3D48-BF72-3158D9D74E01,present,
F000125,F06F8A05-7013-E446-B538-6DCD2C68601F,present,
F000126,88DC1153-7651-4247-A8A8-2565A25B9D7F,present,
F000127,6BB12296-C296-7B41-9FA9-5898B3E03A63,present,
F000128,4D6B69EC-B86F-D943-9572-260AB95EDC51,present,
F000129,94E8F7B3-C23B-C943-81F9-0853DC7FAEE2,present,
F000130,56B2F633-5C1D-AA48-9217-78FAE96577F8,present,
F000131,67614A31-D6E9-FF4E-9794-C2BAFEE0200F,present,
F000132,2D56EAC2-BC20-A445-AE89-8CEE6AB99A00,present,
F000133,FF775817-B2BB-1A45-924A-322D94E13839,present,
F000134,0D35E0A5-7987-B941-9C0A-863616907D12,present,
F000135,047A13E5-C136-C746-8E24-3F69EE9FC5B4,present,
F000136,9150DE51-7819-8E4E-BBDB-B75E93434425,present,
F000137,2BD29150-E640-6C43-81F3-05A50DB07654,present,
F000138,0E26E954-389A-3F4A-88E0-A635CE3A8B69,present,
F000139,565FCB76-FB82-FA41-BB4F-21526F5FCC64,present,
F000140,B16541C3-CFE6-F54B-8E16-451B293A00C6,present,
F000141,8454B091-CF3D-A747-8236-884CC513CFBF,present,
F000142,7F9C45CE-8A41-B44E-A076-0DBB996D3BDC,present,
F000143,3D067111-4E7B-274D-A9BC-89EF1B25D308,present,
F000144,4658FEFC-8DB7-E449-8251-C88265E7847B,present,
F000145,13458CC0-9B0F-114A-9139-739C3A87F409,present,
F000146,3CCC2244-2AB0-BC42-977C-38F8BE5D6D0E,present,
F000147,F44D863F-D3D4-6047-8AE4-DD016707CD92,present,
F000148,06D1F3AF-B387-C642-99AA-C14F293A5364,present,
F000149,896CD5F1-5046-484A-B98B-209F8C3E60D7,present,
F000150,D0EC9B9E-80AE-FD41-8BF1-629075A95ABE,present,
F000151,D10B6C4F-737C-FE4A-8599-5178BBBB52DE,present,
F000152,07861194-8497-4D44-96E7-A9B5B2253844,present,
F000153,FE8B413B-3033-6C45-83CC-5C9CA801574B,present,
F000154,6EAA67BB-BEFC-FD45-95E1-FC495DECAAC6,present,
F000155,021E9714-A6E5-C444-A3BD-B37030CD4BDC,present,
F000156,B8D2C3A8-3DBD-514D-AEFD-4C951B4605B7,present,
F000157,98F4AD67-473F-E341-B024-47697D34CD8F,present,
F000158,1CEDECC2-A0BD-F84B-A5CD-3E1C35F31A4A,present,
F000159,50796E8D-9575-7F46-9F6A-1579E804A233,present,
F000160,8C582890-D11A-1540-AC63-8E4256B3344C,present,
F000161,2BE6AC41-AB6E-514A-B5F2-8A4A07164C82,present,
F000162,9F654F3F-2A2E-134D-BEF6-AE38197DB12D,present,
F000163,7C9FB779-9179-C74D-8D8E-2FEFC9E11F49,present,
F000164,27C468A5-A195-5642-8A1C-BA3EEF61EDDA,present,
F000165,617354C7-AEE1-7E4A-9F94-E8EC78822E9E,present,
F000166,1A134F03-BD30-C74C-887F-47E9DFE135B7,present,
F000167,743C5B3A-2AA8-8548-93B7-6A82612F223E,present,
F000168,3CEF87D3-271A-C749-A2F4-AE22DECDCF98,present,
F000169,47323616-8DCB-5743-A401-27DA2E46CBED,present,
F000170,F8D68890-00E1-3A4A-8929-B921FA681F8F,present,
F000171,79A16D2E-72D2-9F4E-B2B0-82875CA424DD,present,
F000172,B9F364B8-F05B-2544-BDA5-235288B3F9FE,present,
F000173,ED2F77A4-E4E2-B24E-B724-351FB190D5AE,present,
F000174,5AF7E927-ECFF-4A40-A349-44E2071B77F5,present,
F000175,1B33E618-5F52-FE40-8004-4C882A464D2C,present,
F000176,CFA77C20-2297-F54D-B885-E4393007A293,present,
F000177,BE9D1B29-99D6-664E-A613-17C1B96080ED,present,
F000178,9CDD8215-AFC5-564B-AC38-69C5464E2902,present,
F000179,99A5C6D8-7213-4543-BEDE-9575761BFE09,present,
F000180,3830D126-3A90-0E44-B3E8-A885E28037AD,present,
F000181,EA04B42C-104E-AF44-A621-1C83040D3EAC,present,
F000182,68C04FB3-B887-294D-B7CE-FE571D8C1974,present,
F000183,4C0D6962-F408-FD4F-BE2A-70BFEB4FAF82,present,
F000184,5FE70D56-0245-3B4D-8C83-0661F6608CB6,present,
F000185,A62E4C6A-7B9F-BB47-B3A7-944E5B71D077,present,
F000186,5DFA43A0-0B1E-D44D-B6CA-A9D6CC0031A6,present,
F000187,0287EDE9-996B-8043-AA0E-5ABEDB5324D9,present,
F000188,7561D5F0-652C-F74B-A56A-D09ED35475C7,present,
F000189,F769CBB6-89C4-3249-9636-F9BD772474E6,present,
F000190,E4F39A10-5215-0346-8D62-1F5DEA896802,present,
F000191,491CDD1D-3932-8342-96D9-6506432BF71C,present,
F000192,5866D2F3-9E46-BB4F-8B65-533543BAA64E,present,
F000193,AA1BDC75-8EEC-3340-98C7-5C020E358206,present,
F000194,C9F2A1DA-00F9-9A4D-95C2-E6E7899276BD,present,
F000195,144124A6-2963-ED44-BC11-4C2DC0891241,present,
F000196,1A538AFD-083E-3B47-8E3C-30B1B9FCCB1C,present,
F000197,C6B3BAA8-6D0B-AA42-9F1A-5FC1E8FC3CE9,present,
F000198,36258926-7AE7-5C40-8111-CB126DDC94E7,present,
F000199,584283B3-3C12-064C-B09D-FE146E8D41C4,present,
F000200,9A17F6E3-7A19-4540-BD72-5E4A797F7152,present,
F000201,825C2D87-683D-3942-953F-9C8DD4710C49,present,
F000202,FFF96A22-B2F0-CB48-B4F3-6BF88A243EF5,present,
F000203,494CD3CD-0301-044F-8E2E-7077FEAA1473,present,
F000204,8A179579-2807-BE43-803E-541D630B3BC0,present,
F000205,FD7D02C1-F24F-D840-894D-61446DF88CCF,present,
F000206,E22071B2-3C5D-FC4B-9B6A-DD77C798081D,present,
F000207,CCB91A2F-B8BD-AE44-8C1D-ED7B8DAF8979,present,
F000208,3FD52C14-5E50-E445-9FE0-86FBDDD675B8,present,
F000209,894BDF8A-C7F9-0B43-BC17-A3195BA00B68,present,
F000210,E9552371-6059-1049-8ACF-81A4E118262D,present,
F000211,390BEFBE-8422-F04C-AE83-71F6330F67D5,present,
F000212,11F5CD59-76CC-CA46-BB3C-539DFDFA8E38,present,
F000213,BFDEEEF3-AE0B-5640-A6FF-020249214291,present,
F000214,0B22283C-E2BB-7E45-912C-208A4FE35EEE,present,
F000215,83E3709E-4063-6D4C-91C9-EF5B90504727,present,
F000216,E04E0EE6-E82C-0C48-8E47-58FCA27A173C,present,
F000217,A787F1E9-0AEA-1643-AD98-F6A114215991,present,
F000218,ABAC790F-FF76-2948-A538-447FF0C644E9,present,
F000219,881E1329-16D1-AA42-8DF2-54AD4CF226A7,present,
F000220,C45C18A3-FF44-7549-B70A-B1DC00B64329,present,
F000221,84454293-55BC-5B47-883D-E5B9C75AD2CF,present,
F000222,BD8B9EAB-82B5-BC45-900D-0F19782DE6F6,present,
F000223,782474D2-1BDD-964A-A333-A63AEAF421B0,present,
F000224,E113E7A0-B490-D240-A50E-96D2A5ED6DB7,present,
F000225,67498966-9A51-8644-B397-67EA6764EB7C,present,
F000226,15CFCC4C-9056-1246-A6F3-E466CC7F0C71,present,
F000227,A8D459E3-86CF-5341-813C-56FA5AB37E41,present,
F000228,9D736776-363E-4947-A153-0FBCB4582BA6,present,
F000229,68ED737C-4D7A-5543-B2D5-4293F79F9D7F,present,
F000230,E52A0B06-F2B0-3B47-B3E9-BA0F7B717A18,present,
F000231,3DC83942-10B6-9C4E-BAFD-1634CE88C9F9,present,
F000232,2FE06D09-C231-BB4A-A8FE-173574DA16CE,present,
F000233,7B0EE659-5FFE-AF4C-8337-2340C9253CD8,present,
F000234,5062937C-3129-5E4E-8302-B82792D639D9,present,
F000235,AC13C4BD-C1A9-214F-BB8E-FD1E7A628C15,present,
F000236,F0ADD1B7-1D2E-9D44-AAB9-0D7D2ED628DE,present,
F000237,00024610-515F-3447-B4C1-9724632D9A66,present,
F000238,AFEB6B81-5298-6649-8F3C-E3EB1DBE774C,present,
F000239,582DCA22-60A1-8E4B-8D3E-8307070F0DC2,present,
F000240,5F7BE561-8A96-2945-95F6-756DC2297B38,present,
F000241,0BD85F1B-D61B-A54B-B0BB-3D2C36090301,present,
F000242,563F92CA-E093-ED48-8E73-DE94893C7229,present,
F000243,016B60CD-6F09-A14D-8EF0-90C25BBA8651,present,
F000244,D3FF648C-C0C7-7641-853E-C981FA551CDD,present,
F000245,8184B113-AE72-FD4F-8580-7FE7193C722C,present,
F000246,1EB00A87-59EB-2044-AEAC-18747DCD6715,present,
F000247,135CFE28-3626-7844-A6CB-9DD109DE66C5,present,
F000248,9097E1BE-E2E2-AE40-8169-C19D3EF03D9E,present,
F000249,1658BDC1-1697-3844-A042-2D68AAE5C291,present,
F000250,1AB89289-6367-3D4D-8489-B412A5E921F3,present,
F000251,E2533B68-5922-B04E-B291-11C5B5A5778B,present,
F000252,BF8C306D-21E1-C247-9BA8-C15D3917D62E,present,
F000253,D39E2234-8B4E-2B44-9A0E-062E0C3E8C50,present,
F000254,C02CDEB7-EBC4-B543-8AD4-1619786AEA2B,present,
F000255,6204F90B-B5D1-DE48-B6BE-C6F91BC14FC3,present,
F000256,965D3DD2-9C99-1845-9994-9CA167B9C2E6,present,
F000257,0959FB5E-0C4F-264C-9263-C7DC04DD9B92,present,
F000258,5E71764C-094D-CD41-92FA-275C75A69A03,present,
F000259,52254598-5257-F44E-AFBE-2C951F9411A9,present,
F000260,285EF6C7-A113-9348-84E0-0C55F517393E,present,
F000261,74DA79D8-E5AF-3344-84DC-C7D3117E84D5,present,
F000262,67F1BF5E-4D47-AE4E-B51D-E7CE5F1BFFBD,present,
F000263,B2E49228-7CEE-6C4F-AC3E-ED9D450E674D,present,
F000264,F5947698-C502-444F-BBCA-5ED432A3A3B4,present,
F000265,4A07145E-92FD-654B-B31C-BE1865FE670A,present,
F000266,1E41639E-5B15-2D40-897F-4CE4FE935231,present,
F000267,5DC9B7EC-7C91-6642-A60A-B70E1D9CFE98,present,
F000268,4AB8B142-DBDA-374C-8927-F2852450B815,present,
F000269,9A265A91-DFB8-BB43-BD58-2F17578533C8,present,
F000270,EA7D5EE9-36CF-ED4E-9C09-24D5B08A9B2F,present,
F000271,B87F5E70-1D85-114D-90A1-AD33AF38C960,present,
F000272,1CE19812-92E9-C641-AE00-E1E1F4A19066,present,
F000273,44D57ED6-849C-0D46-A24B-B5AEE557440E,present,
F000274,030CF3D9-ECF6-ED4D-8DD6-826CB95D836C,present,
F000275,5F8EEB28-6B9B-9F4B-80DA-0939F20C3946,present,
F000276,3779C91D-4AFF-DE46-9F61-8977F086CFEC,present,
F000277,38C893FB-59C8-8A4D-8080-5A9BE942E48F,present,
F000278,ADEDD57B-E500-944E-BC1A-CBF8465AD316,present,
F000279,A2016DEB-BA56-1644-B358-1EE4DBEEFA29,present,
F000280,5DFF3BC6-609D-AC40-9CD7-279C6ADA3E05,present,
F000281,84AFF5E1-1331-C942-937E-403436545521,present,
F000282,85FE6628-9C4D-F847-8B87-5AA386AF0960,present,
F000283,4E172D07-D47A-944D-999A-195BBC743B6E,present,
F000284,52FD3231-FC70-6B4C-8764-83E51637D187,present,
F000285,B0385E5C-27E0-1842-8044-224B55DBF88A,present,
F000286,E1BCD387-796D-144B-A629-469D881F424F,present,
F000287,FF981C9B-5D73-E04A-BA2A-B72754EA06FF,present,
F000288,0A6AEE81-8B85-714E-87B8-CF653491E929,present,
F000289,C0813A0B-7F63-0D49-814B-5561A49E44B7,present,
F000290,732E36BE-0568-544C-B8D5-BD90EF88506C,present,
F000291,9E91A6BF-9F64-6441-9D1A-D2AF42B137B4,present,
F000292,31051F13-4CC3-E441-9191-E28CABB5CB7B,present,
F000293,6F20BEC1-E482-3642-8090-13DF5BBCE98B,present,
F000294,A1DF58DF-CE78-A74E-A211-57C251CCD09C,present,
F000295,6DE2B700-B78F-764C-947E-7FA6C2615224,present,
F000296,A5D5B589-F4FA-A94C-90B6-FD4EAF5235B2,present,
F000297,E2262D49-1FCE-2B41-B1E1-D3A575A53EC2,present,
F000298,B726E248-0703-2046-B8B5-44510C56D836,present,
F000299,F5D70118-253F-AE48-8028-DFE73C353680,present,
F000300,C403C94C-EF61-0D45-887F-616EB211819E,present,
F000301,343B5A23-E3DF-EF42-A7CD-19A4096C59CF,present,
F000302,5AF08E11-1035-B34A-AD12-AF5CFA5D8E86,present,
