platform,record_a,record_b,match_type,breakdown
BBM,BBM:F000846,BBM:F000858,similar,06
BBM,BBM:F000846,BBM:F000916,similar,06
BBM,BBM:F000858,BBM:F000916,similar,06
BBM,BBM:F000815,BBM:F000816,similar,06
BBM,BBM:F000815,BBM:F000817,similar,06
BBM,BBM:F000815,BBM:F000818,similar,06
BBM,BBM:F000815,BBM:F000852,similar,06
BBM,BBM:F000815,BBM:F000853,similar,06
BBM,BBM:F000815,BBM:F000854,similar,06
BBM,BBM:F000815,BBM:F000855,similar,06
BBM,BBM:F000815,BBM:F000856,similar,06
BBM,BBM:F000815,BBM:F000857,similar,06
BBM,BBM:F000815,BBM:F000880,similar,06
BBM,BBM:F000815,BBM:F000881,similar,06
BBM,BBM:F000815,BBM:F000882,similar,06
BBM,BBM:F000816,BBM:F000817,similar,06
BBM,BBM:F000816,BBM:F000818,similar,06
BBM,BBM:F000816,BBM:F000852,similar,06
BBM,BBM:F000816,BBM:F000853,similar,06
BBM,BBM:F000816,BBM:F000854,similar,06
BBM,BBM:F000816,BBM:F000855,similar,06
BBM,BBM:F000816,BBM:F000856,similar,06
BBM,BBM:F000816,BBM:F000857,similar,06
BBM,BBM:F000816,BBM:F000880,similar,06
BBM,BBM:F000816,BBM:F000881,similar,06
BBM,BBM:F000816,BBM:F000882,similar,06
BBM,BBM:F000817,BBM:F000818,similar,06
BBM,BBM:F000817,BBM:F000852,similar,06
BBM,BBM:F000817,BBM:F000853,similar,06
BBM,BBM:F000817,BBM:F000854,similar,06
BBM,BBM:F000817,BBM:F000855,similar,06
BBM,BBM:F000817,BBM:F000856,similar,06
BBM,BBM:F000817,BBM:F000857,similar,06
BBM,BBM:F000817,BBM:F000880,similar,06
BBM,BBM:F000817,BBM:F000881,similar,06
BBM,BBM:F000817,BBM:F000882,similar,06
BBM,BBM:F000818,BBM:F000852,similar,06
BBM,BBM:F000818,BBM:F000853,similar,06
BBM,BBM:F000818,BBM:F000854,similar,06
BBM,BBM:F000818,BBM:F000855,similar,06
BBM,BBM:F000818,BBM:F000856,similar,06
BBM,BBM:F000818,BBM:F000857,similar,06
BBM,BBM:F000818,BBM:F000880,similar,06
BBM,BBM:F000818,BBM:F000881,similar,06
BBM,BBM:F000818,BBM:F000882,similar,06
BBM,BBM:F000852,BBM:F000853,similar,06
BBM,BBM:F000852,BBM:F000854,similar,06
BBM,BBM:F000852,BBM:F000855,similar,06
BBM,BBM:F000852,BBM:F000856,similar,06
BBM,BBM:F000852,BBM:F000857,similar,06
BBM,BBM:F000852,BBM:F000880,similar,06
BBM,BBM:F000852,BBM:F000881,similar,06
BBM,BBM:F000852,BBM:F000882,similar,06
BBM,BBM:F000853,BBM:F000854,similar,06
BBM,BBM:F000853,BBM:F000855,similar,06
BBM,BBM:F000853,BBM:F000856,similar,06
BBM,BBM:F000853,BBM:F000857,similar,06
BBM,BBM:F000853,BBM:F000880,similar,06
BBM,BBM:F000853,BBM:F000881,similar,06
BBM,BBM:F000853,BBM:F000882,similar,06
BBM,BBM:F000854,BBM:F000855,similar,06
BBM,BBM:F000854,BBM:F000856,similar,06
BBM,BBM:F000854,BBM:F000857,similar,06
BBM,BBM:F000854,BBM:F000880,similar,06
BBM,BBM:F000854,BBM:F000881,similar,06
BBM,BBM:F000854,BBM:F000882,similar,06
BBM,BBM:F000855,BBM:F000856,similar,06
BBM,BBM:F000855,BBM:F000857,similar,06
BBM,BBM:F000855,BBM:F000880,similar,06
BBM,BBM:F000855,BBM:F000881,similar,06
BBM,BBM:F000855,BBM:F000882,similar,06
BBM,BBM:F000856,BBM:F000857,similar,06
BBM,BBM:F000856,BBM:F000880,similar,06
BBM,BBM:F000856,BBM:F000881,similar,06
BBM,BBM:F000856,BBM:F000882,similar,06
BBM,BBM:F000857,BBM:F000880,similar,06
BBM,BBM:F000857,BBM:F000881,similar,06
BBM,BBM:F000857,BBM:F000882,similar,06
BBM,BBM:F000880,BBM:F000881,similar,06
BBM,BBM:F000880,BBM:F000882,similar,06
